0 0 57 0 0	0 0 2 0 42 0 5 0 6
0 1 81 0 0	0 0 2 3 58 0 8 0 7
1 0 93 0 0	0 0 2 0 80 0 4 0 6
0 2 123 0 0	0 0 3 22 77 0 13 0 7
1 1 140 0 0	0 0 3 37 83 0 8 0 6
0 3 156 0 0	0 0 3 59 79 0 10 0 3
1 2 178 0 0	0 0 2 83 76 0 8 0 7
0 4 213 0 0	0 0 3 101 95 0 9 0 3
1 3 231 0 0	0 0 3 116 99 0 8 0 3
0 5 247 0 0	0 0 3 153 75 0 11 0 3
1 4 274 0 0	0 0 2 178 79 0 9 0 3
0 6 283 0 0	0 0 3 192 74 0 9 0 3
1 5 317 0 0	0 0 4 219 80 0 9 0 4
0 7 319 0 0	0 0 3 224 75 0 12 0 3
1 6 354 0 0	0 0 2 258 79 0 8 0 4
0 8 354 0 0	0 0 20 242 77 0 10 0 3
1 7 394 0 0	0 0 2 300 77 0 8 0 4
0 9 396 0 0	0 0 3 299 77 0 10 0 4
1 8 428 0 0	0 0 3 334 75 0 9 0 4
0 10 435 0 0	0 0 4 337 78 0 11 0 4
1 9 469 0 0	0 0 3 374 78 0 9 0 4
0 11 468 0 0	0 0 3 372 76 0 9 0 4
1 10 513 0 0	0 0 2 409 81 0 15 0 4
0 12 504 0 0	0 0 4 412 69 0 14 0 4
0 13 539 12 24	0 0 3 439 76 0 15 0 4
1 11 555 0 0	0 0 2 453 77 0 16 0 4
1 12 588 11 24	0 0 3 487 78 0 14 0 4
0 14 580 12 24	0 0 4 478 78 0 15 0 3
1 13 633 11 24	0 0 3 528 80 0 16 0 4
0 15 619 12 24	0 0 3 515 80 0 16 0 4
0 16 658 12 24	0 0 3 556 78 0 16 0 3
1 14 671 11 24	0 0 3 566 79 0 17 0 3
1 15 732 11 24	0 0 4 608 78 0 37 0 3
0 17 720 12 24	0 0 3 597 79 0 36 0 3
0 18 759 12 24	0 0 3 635 96 0 18 0 3
1 16 769 11 24	0 0 3 644 97 0 19 0 3
0 20 838 12 24	0 0 3 704 79 0 20 0 3
1 20 933 11 24	0 0 3 785 79 0 21 0 3
0 22 921 12 24	0 0 5 819 81 0 22 0 3
1 21 980 11 24	0 0 3 809 81 0 23 0 3
0 23 967 12 24	0 0 3 867 81 0 24 0 3
1 22 1022 11 24	0 0 2 854 82 0 24 0 3
0 24 1010 12 24	0 0 4 903 82 0 27 0 3
0 25 1055 12 24	0 0 3 892 82 0 26 0 3
1 23 1068 11 24	0 0 3 938 82 0 27 0 4
1 24 1109 11 24	0 0 3 951 81 0 28 0 4
0 26 1098 12 25	0 0 4 987 84 0 29 0 4
